reviewId,content,score
ce1781b1-238d-406e-8eff-12b924373a8a,Can't shut off distracting background noises.,1
b46d2f1a-2388-4a69-8b50-82857e6c1332,"Easy to use, informative, and excellent for busy individuals",5
63bdff46-75cc-433d-8226-b18cfaebf899,Excellent app to help wind down.,5
ab24a74b-aa1c-4f03-b698-0947709b8583,Calm is just awful.,1
f484c42b-f68d-40d6-b8e9-9448903f7389,helps relax mind body and soul and comforts your spirit,5
c4ce35dc-05b6-4008-913f-55141168d864,this app is not for free even though they advertise it is.,1
dc77f099-66d8-44ed-a4ab-ff9ed863de37,amazing. life changing .,5
93289d30-64fc-4374-9649-b148c0277922,could have better search functionality to find what you're looking for or even tagging would be better,4
9e67fca4-ac8f-44e5-9d5a-f80cf5321e99,"Randomly stops playing throughout the night, which then wakes me up.",2
1cdeb88a-141a-4fa0-a0a4-fd400c4bf16a,Paid $5 for this 3 yrs ago but nearly everything is locked up behind another pay wall. What the hell did I pay $5 for? Rip off,3
c7114613-f621-41f5-a641-a9dce283ff4f,I needed that! 🙏🏼,5
b0cee7b0-d66e-4043-bd5e-d7a70f51bcce,"A warning: stay away from this app. It will make itself impossible to cancel, turning back on auto-pay and charging you for the longest possible subscription. Apart from the product itself, the pricing model is as close to a scam as you can get without presumably violating playstore rules. If you manage to find out where they have hidden auto-pay settings, the app WILL turn it back on without notifying you. Avoid.",1
a241396f-c6e3-4e83-8fdc-796e2bea395f,"I am so sad. The day finally came. I have been listening to ""The Waterfall"" for years. I can almost quote it to you. They charged for all the other ones, but that one remained free and I remained so grateful. I cant quite afford a membership yet. but hopefully I'll be back... until then😢💔",3
37866f21-37df-426e-9ced-3d5583a82703,"i've used it in samsung health, it was great. but the actual app needs you to pay before even using it. i wish this app was free, the concept and ui is great though!",3
52872ba3-1504-4a89-9aed-7e4347d690af,This app is waaaaay out of my price range. Im a single parent so I wanted to give it a go but it is too expensive. For wealthy people only.,1
6b172be8-ff31-413c-be18-503352781568,Useless unless you pay,1
fb5172a1-8b2b-4278-abbc-51842c272998,I just started this app and so far I'm enjoying it because there's so many options you can choose from and it's nice because you can do a journal or you can make comments I like it a lot 😁😁 you might like it too give it a shot I like the music I just started listening to this stuff and I'm enjoying it!!!,5
8b315fb3-34cf-4ae8-818c-d36de2bc2526,Helps me drift off to sleep when I am wide awake. Please add more piano calm covers and sleep stories!,5
dbd3ce6d-c19c-4ee2-90fe-2e1a87415fa6,"Almost everything is an in app purchase. Its all very expensive. It looks nice but I dont have the money to keep purchasing every little thing in life, having a subscription for wvery single thing. Its all too much.",1
3f98faf8-4604-44b0-b590-59f0dc7b66d7,"The Daily Calm just stops playing after 60 seconds or so every time when playing it from my watch. Makes the watch version of this app useless for me. The watch version also has no soothing beach background noise, which makes a huge difference. Uninstalled from my Pixel Watch 3, going back to using the phone app.",1
d7826c02-5bad-4ca1-b94a-81a92d955184,love the App.,5
0c57b96e-5d04-4efc-bed5-2dfc54fd5a02,u have to pay for sleep yeah okay this app must be garbage get it fake accounts out of the ratings,1
c5936d4e-8ff8-4102-ae1e-fa8b0b991675,Too many pop ups to share the app.,2
dc5caa47-229b-4ad6-8b3e-df82908b4164,Well went I when I use it properly!!,4
6894ec8b-e738-4e67-b94a-bb3a3a248b56,It costs how much!!? 😳😳😳😳😡😤😢... between YouTube & my Alexa there are plenty of great relaxing videos or sounds FOR FREE!!,1
aa7c2158-4ac5-4ca2-a509-9fdaf84cef67,I cancelled Calm. they still took the annual payment. my husband will be disputing the charge,1
2551769b-93f8-4fb2-bb59-7818e9f76b59,Could not relax,3
a94f76ec-9f63-4b0e-a11e-7188ebc6be1e,its my first trying it and i find it comforting,5
e725887d-b586-4f10-aaa0-73f99ad01f8a,EVERYTHING is locked behind paywalls,1
699b604b-0364-46ff-8e00-83c4cb2c9c70,I love this. listening to the night time stories. makes it so easy to fall asleep.,5
3503c79e-0615-4e41-94a0-3b4c6de1e739,Save your money,1
66644875-6bfd-425a-a942-46592e9d88b7,"pay to play, there's a ton of other options out there for free, to heck with these guys",1
47ae495b-e6a6-4fb8-9b8e-3ab22c2740fc,"hard to navigate, no content you can't get better and for free, hard selll techniques and really expensive",1
452ac151-50e5-483a-a706-d8656249d359,it wanted to charge me $6.66 a month,1
806f9838-eb2f-40b3-ac39-d134ca0b2ea4,Thich Nan Han and Tamara teach: peace at every step,5
9d65b775-4cf1-43df-aede-a4772140308c,"Helped me fall asleep quicker than usual but I'm up a couple hours later, so testing how it might help me fall BACK to sleep...well, after making a batch of cookies cuz why not, I woke from a very vivid nightmare - no, not triggered by the app btw. Personal struggles, obviously.",5
8efc2db4-5085-49ba-8831-6b2acf3b85b3,all is for paying subscribers,1
33ec3191-81c9-4a24-b416-9c365345bbdd,Love this happen we have some fall asleep Love it 10/10,5
c14ba968-432c-4907-a05f-ffa65f0427a3,"AI SLOP APP. Uses AI, which steals from artists, instead of hiring and paying artists for their work. I'd unsubscribe if my membership wasn't free with a cc perk. Using the app only for its rain on leaves.",1
9d22493a-75e9-485b-93d1-668c4928dc92,"Just terrible recently, every meditation is broken.",1
b5d92cd8-c896-4c99-9472-f09c824a6c46,Best app change my life well worth measly $40 a year And I paid for it this year too. 2017.. 2024 edit this is still the best meditation app that this Play store could ever have I just hope the price hasn't gone up too much it used to be $40 a year. 2025 looks like I'm going to have to cancel my membership because I can't afford $80 it says I can have 50% off but it won't give it to me at checkout so I can only pay $40 I've had this app for over 8 years.,5
ba21fade-6b6d-4dcf-aa51-d820d604a095,my love has grown personally a greatness I have never understood could feel better with being appreciative. the new approach is appreciated. the new self is care. the new care is present.,5
a78a22ab-4e36-491e-882a-70afe2fbd664,Provided by my employer. Will update later,5
d9f54aeb-8e8d-4939-b221-57d3d4481686,This app is really different. I like the calmness of each session.,5
c00bd016-9d75-470f-abcb-366d8bc63522,A still point in a changing world. Take time while you still have it.,5
d996d79f-53f5-44ff-b68a-8afdd6cda223,love it ❤️,5
1bd8afe6-14e4-49bc-892b-d8bb9b6f4d3e,Relaxing,5
fe4541bc-028b-4b0a-8023-0df1e947564b,My mental health has improved,5
6d310ddf-d42d-4a9a-a029-2b2edec54852,"too much distractions in the app, ironic",1
974d01be-bd5f-4b29-80cc-e5071394b276,nice selections. A lot of spoken word. wish there were more music options,5
d24d0cb8-6831-4f39-b404-19fcfc7b7037,"its not free, it's just a 7 day trial, you have to pay monthly.",1
895295f8-0b30-4478-b52a-a9bc202d5f22,Best app!,5
9f5b8017-44d3-4cd8-beb3-993189a7c6b3,Amazing customer service. Refunded my money immediatly. <3,5
c337323a-f845-4d24-a8ea-a3e8b30df8b3,"This app has changed my sleep completely for the better. However, it took me weeks to figure out that if I just hit play at the bottom to start the same audio from the previous night it does not count toward my daily use. I have to browse Sleep each night, play something else, then go back to the original audio for it to count. Annoying, but only because I like to earn tracking badges.",4
516f6487-9262-4141-bca4-2a3f362f608d,never used it now they want 79 $,1
1e5e9a3e-b2a2-43b0-b8d1-a0cfda42a420,"Got the app because of an ad with an audiovisual meditation which they don't even have. Most of the soundscapes for some reason have daytime bird sounds that are jarring to the brain when trying to fall asleep so I only use a couple of them. And to top it off, following the instructions to cancel the service goes to the Google play store so I can't even figure out how to unsubscribe.",1
